Variable;Valor
x_tvp[1,5,17];0.0
x_tvp[1,5,18];0.0
x_tvp[1,5,19];0.0
x_tvp[1,5,20];0.0
x_tvp[1,5,21];0.0
x_tvp[1,5,22];0.0
x_tvp[1,5,23];0.0
x_tvp[1,5,24];0.0
x_tvp[1,5,25];0.0
x_tvp[1,5,26];0.0
x_tvp[1,5,27];0.0
x_tvp[1,5,28];0.0
x_tvp[1,5,29];0.0
x_tvp[1,5,30];0.0
x_tvp[1,5,31];0.0
x_tvp[1,5,32];0.0
x_tvp[1,5,33];0.0
x_tvp[1,5,34];0.0
x_tvp[1,5,35];0.0
x_tvp[1,5,36];0.0
x_tvp[1,5,37];0.0
x_tvp[1,5,38];0.0
x_tvp[1,5,39];1.0
x_tvp[1,5,40];1.0
x_tvp[1,6,1];-0.0
x_tvp[1,6,2];-0.0
x_tvp[1,6,3];-0.0
x_tvp[1,6,4];-0.0
x_tvp[1,6,5];-0.0
x_tvp[1,6,6];-0.0
x_tvp[1,6,7];-0.0
x_tvp[1,6,8];-0.0
x_tvp[1,6,9];-0.0
x_tvp[1,6,10];1.0
x_tvp[1,6,11];-0.0
x_tvp[1,6,12];-0.0
x_tvp[1,6,13];-0.0
x_tvp[1,6,14];-0.0
x_tvp[1,6,15];1.0
x_tvp[1,6,16];-0.0
x_tvp[1,6,17];-0.0
x_tvp[1,6,18];-0.0
x_tvp[1,6,19];-0.0
x_tvp[1,6,20];-0.0
x_tvp[1,6,21];-0.0
x_tvp[1,6,22];-0.0
x_tvp[1,6,23];-0.0
x_tvp[1,6,24];-0.0
x_tvp[1,6,25];-0.0
x_tvp[1,6,26];-0.0
x_tvp[1,6,27];-0.0
x_tvp[1,6,28];-0.0
x_tvp[1,6,29];-0.0
x_tvp[1,6,30];-0.0
x_tvp[1,6,31];-0.0
x_tvp[1,6,32];-0.0
x_tvp[1,6,33];-0.0
x_tvp[1,6,34];-0.0
x_tvp[1,6,35];-0.0
x_tvp[1,6,36];-0.0
x_tvp[1,6,37];-0.0
x_tvp[1,6,38];-0.0
x_tvp[1,6,39];-0.0
x_tvp[1,6,40];-0.0
x_tvp[1,7,1];-0.0
x_tvp[1,7,2];-0.0
x_tvp[1,7,3];-0.0
x_tvp[1,7,4];-0.0
x_tvp[1,7,5];-0.0
x_tvp[1,7,6];-0.0
x_tvp[1,7,7];-0.0
x_tvp[1,7,8];-0.0
x_tvp[1,7,9];-0.0
x_tvp[1,7,10];1.0
x_tvp[1,7,11];-0.0
x_tvp[1,7,12];-0.0
x_tvp[1,7,13];-0.0
x_tvp[1,7,14];-0.0
x_tvp[1,7,15];4.0
x_tvp[1,7,16];-0.0
x_tvp[1,7,17];-0.0
x_tvp[1,7,18];-0.0
x_tvp[1,7,19];-0.0
x_tvp[1,7,20];-0.0
x_tvp[1,7,21];-0.0
x_tvp[1,7,22];-0.0
x_tvp[1,7,23];-0.0
x_tvp[1,7,24];-0.0
x_tvp[1,7,25];-0.0
x_tvp[1,7,26];-0.0
x_tvp[1,7,27];-0.0
x_tvp[1,7,28];-0.0
x_tvp[1,7,29];-0.0
x_tvp[1,7,30];-0.0
x_tvp[1,7,31];-0.0
x_tvp[1,7,32];-0.0
x_tvp[1,7,33];-0.0
x_tvp[1,7,34];-0.0
x_tvp[1,7,35];-0.0
x_tvp[1,7,36];-0.0
x_tvp[1,7,37];-0.0
x_tvp[1,7,38];-0.0
x_tvp[1,7,39];-0.0
x_tvp[1,7,40];-0.0
x_tvp[1,8,1];-0.0
x_tvp[1,8,2];-0.0
x_tvp[1,8,3];-0.0
x_tvp[1,8,4];-0.0
x_tvp[1,8,5];-0.0
x_tvp[1,8,6];-0.0
x_tvp[1,8,7];-0.0
x_tvp[1,8,8];-0.0
x_tvp[1,8,9];-0.0
x_tvp[1,8,10];-0.0
x_tvp[1,8,11];-0.0
x_tvp[1,8,12];-0.0
x_tvp[1,8,13];-0.0
x_tvp[1,8,14];2.0
x_tvp[1,8,15];4.0
x_tvp[1,8,16];-0.0
x_tvp[1,8,17];-0.0
x_tvp[1,8,18];-0.0
x_tvp[1,8,19];-0.0
x_tvp[1,8,20];-0.0
x_tvp[1,8,21];-0.0
x_tvp[1,8,22];-0.0
x_tvp[1,8,23];-0.0
x_tvp[1,8,24];-0.0
x_tvp[1,8,25];-0.0
x_tvp[1,8,26];-0.0
x_tvp[1,8,27];-0.0
x_tvp[1,8,28];-0.0
x_tvp[1,8,29];-0.0
x_tvp[1,8,30];-0.0
x_tvp[1,8,31];-0.0
x_tvp[1,8,32];-0.0
x_tvp[1,8,33];-0.0
x_tvp[1,8,34];-0.0
x_tvp[1,8,35];-0.0
x_tvp[1,8,36];-0.0
x_tvp[1,8,37];-0.0
x_tvp[1,8,38];-0.0
x_tvp[1,8,39];-0.0
x_tvp[1,8,40];1.0
x_tvp[1,9,1];-0.0
x_tvp[1,9,2];-0.0
x_tvp[1,9,3];-0.0
x_tvp[1,9,4];-0.0
x_tvp[1,9,5];-0.0
x_tvp[1,9,6];-0.0
x_tvp[1,9,7];-0.0
x_tvp[1,9,8];-0.0
x_tvp[1,9,9];-0.0
x_tvp[1,9,10];1.0
x_tvp[1,9,11];-0.0
x_tvp[1,9,12];-0.0
x_tvp[1,9,13];-0.0
x_tvp[1,9,14];-0.0
x_tvp[1,9,15];4.0
x_tvp[1,9,16];-0.0
x_tvp[1,9,17];-0.0
x_tvp[1,9,18];-0.0
x_tvp[1,9,19];-0.0
x_tvp[1,9,20];-0.0
x_tvp[1,9,21];-0.0
x_tvp[1,9,22];-0.0
x_tvp[1,9,23];-0.0
x_tvp[1,9,24];-0.0
x_tvp[1,9,25];-0.0
x_tvp[1,9,26];-0.0
x_tvp[1,9,27];-0.0
x_tvp[1,9,28];-0.0
x_tvp[1,9,29];-0.0
x_tvp[1,9,30];-0.0
x_tvp[1,9,31];-0.0
x_tvp[1,9,32];-0.0
x_tvp[1,9,33];-0.0
x_tvp[1,9,34];-0.0
x_tvp[1,9,35];-0.0
x_tvp[1,9,36];-0.0
x_tvp[1,9,37];-0.0
x_tvp[1,9,38];-0.0
x_tvp[1,9,39];-0.0
x_tvp[1,9,40];-0.0
x_tvp[1,10,1];-0.0
x_tvp[1,10,2];-0.0
x_tvp[1,10,3];-0.0
x_tvp[1,10,4];-0.0
x_tvp[1,10,5];-0.0
x_tvp[1,10,6];-0.0
x_tvp[1,10,7];-0.0
x_tvp[1,10,8];-0.0
x_tvp[1,10,9];-0.0
x_tvp[1,10,10];1.0
x_tvp[1,10,11];-0.0
x_tvp[1,10,12];-0.0
x_tvp[1,10,13];-0.0
x_tvp[1,10,14];-0.0
x_tvp[1,10,15];4.0
x_tvp[1,10,16];-0.0
x_tvp[1,10,17];-0.0
x_tvp[1,10,18];-0.0
x_tvp[1,10,19];-0.0
x_tvp[1,10,20];-0.0
x_tvp[1,10,21];-0.0
x_tvp[1,10,22];-0.0
x_tvp[1,10,23];-0.0
x_tvp[1,10,24];-0.0
